state,year,gini_index
Nevada,2015,0.455
New Hampshire,2015,0.435
New Jersey,2015,0.483
New Mexico,2015,0.480
New York,2015,0.514
North Carolina,2015,0.478
North Dakota,2015,0.466
Ohio,2015,0.464
Oklahoma,2015,0.470
Oregon,2015,0.462
Pennsylvania,2015,0.469
Rhode Island,2015,0.473
South Carolina,2015,0.470
South Dakota,2015,0.444
Tennessee,2015,0.479
Texas,2015,0.482
Utah,2015,0.425
Vermont,2015,0.445
Virginia,2015,0.468
Washington,2015,0.456
West Virginia,2015,0.458
Wisconsin,2015,0.441
Wyoming,2015,0.437
Alabama,2016,0.485
Alaska,2016,0.408
Arizona,2016,0.471
Arkansas,2016,0.472
California,2016,0.490
Colorado,2016,0.459
Connecticut,2016,0.495
Delaware,2016,0.452
Florida,2016,0.485
Georgia,2016,0.481
Hawaii,2016,0.442
Idaho,2016,0.450
Illinois,2016,0.481
Indiana,2016,0.453
Iowa,2016,0.445
Kansas,2016,0.455
Kentucky,2016,0.481
Louisiana,2016,0.499
Maine,2016,0.452
Maryland,2016,0.450
Massachusetts,2016,0.479
Michigan,2016,0.470
Minnesota,2016,0.450
Mississippi,2016,0.483
Missouri,2016,0.465
Montana,2016,0.467
Nebraska,2016,0.448
Nevada,2016,0.458
New Hampshire,2016,0.430
New Jersey,2016,0.481
New Mexico,2016,0.477
New York,2016,0.513
North Carolina,2016,0.478
North Dakota,2016,0.453
Ohio,2016,0.468
Oklahoma,2016,0.465
Oregon,2016,0.458
Pennsylvania,2016,0.469
Rhode Island,2016,0.478
South Carolina,2016,0.474
South Dakota,2016,0.450
Tennessee,2016,0.479
Texas,2016,0.480
Utah,2016,0.426
Vermont,2016,0.454
Virginia,2016,0.470
Washington,2016,0.459
West Virginia,2016,0.471
Wisconsin,2016,0.450
Wyoming,2016,0.436
Alabama,2017,0.477
Alaska,2017,0.424
Arizona,2017,0.467
Arkansas,2017,0.472
California,2017,0.487
Colorado,2017,0.455
Connecticut,2017,0.494
Delaware,2017,0.481
Florida,2017,0.486
Georgia,2017,0.483
Hawaii,2017,0.445
Idaho,2017,0.448
Illinois,2017,0.482
Indiana,2017,0.450
Iowa,2017,0.438
Kansas,2017,0.454
Kentucky,2017,0.478
Louisiana,2017,0.493
Maine,2017,0.453
Maryland,2017,0.453
Massachusetts,2017,0.485
Michigan,2017,0.467
Minnesota,2017,0.452
Mississippi,2017,0.479
Missouri,2017,0.462
Montana,2017,0.454
Nebraska,2017,0.439
Nevada,2017,0.461
New Hampshire,2017,0.439
New Jersey,2017,0.479
New Mexico,2017,0.478
New York,2017,0.516
North Carolina,2017,0.476
North Dakota,2017,0.455
Ohio,2017,0.464
Oklahoma,2017,0.466
Oregon,2017,0.459
Pennsylvania,2017,0.478
Rhode Island,2017,0.472
South Carolina,2017,0.480
South Dakota,2017,0.449
Tennessee,2017,0.482
Texas,2017,0.478
Utah,2017,0.422
Vermont,2017,0.453
Virginia,2017,0.467
Washington,2017,0.456
West Virginia,2017,0.469
Wisconsin,2017,0.447
Wyoming,2017,0.433
Alabama,2018,0.486
Alaska,2018,0.432
Arizona,2018,0.461
Arkansas,2018,0.485
California,2018,0.491
Colorado,2018,0.456
Connecticut,2018,0.501
Delaware,2018,0.459
Florida,2018,0.489
Georgia,2018,0.482
Hawaii,2018,0.445
Idaho,2018,0.445
Illinois,2018,0.485
Indiana,2018,0.451
Iowa,2018,0.441
Kansas,2018,0.463
Kentucky,2018,0.479
Louisiana,2018,0.494
Maine,2018,0.452
Maryland,2018,0.454
Massachusetts,2018,0.487
Michigan,2018,0.468
Minnesota,2018,0.454
Mississippi,2018,0.483
Missouri,2018,0.466
Montana,2018,0.454
Nebraska,2018,0.449
Nevada,2018,0.469
New Hampshire,2018,0.453
New Jersey,2018,0.484
New Mexico,2018,0.489
New York,2018,0.513
North Carolina,2018,0.478
North Dakota,2018,0.443
Ohio,2018,0.467
Oklahoma,2018,0.469
Oregon,2018,0.458
Pennsylvania,2018,0.475
Rhode Island,2018,0.470
South Carolina,2018,0.476
South Dakota,2018,0.445
Tennessee,2018,0.478
Texas,2018,0.482
Utah,2018,0.427
Vermont,2018,0.447
Virginia,2018,0.475
Washington,2018,0.457
West Virginia,2018,0.474
Wisconsin,2018,0.448
Wyoming,2018,0.455
Alabama,2019,0.474
Alaska,2019,0.438
Arizona,2019,0.459
Arkansas,2019,0.475
California,2019,0.487
Colorado,2019,0.455
Connecticut,2019,0.502
Delaware,2019,0.451
Florida,2019,0.481
Georgia,2019,0.480
Hawaii,2019,0.440
Idaho,2019,0.434
Illinois,2019,0.480
Indiana,2019,0.458
Iowa,2019,0.442
Kansas,2019,0.450
Kentucky,2019,0.476
Louisiana,2019,0.498
Maine,2019,0.449
Maryland,2019,0.456
Massachusetts,2019,0.480
Michigan,2019,0.463
Minnesota,2019,0.443
Mississippi,2019,0.490
Missouri,2019,0.463
Montana,2019,0.460
Nebraska,2019,0.440
Nevada,2019,0.471
New Hampshire,2019,0.441
New Jersey,2019,0.478
New Mexico,2019,0.477
New York,2019,0.515
North Carolina,2019,0.474
North Dakota,2019,0.456
Ohio,2019,0.465
Oklahoma,2019,0.474
Oregon,2019,0.450
Pennsylvania,2019,0.475
Rhode Island,2019,0.463
South Carolina,2019,0.475
South Dakota,2019,0.436
Tennessee,2019,0.475
Texas,2019,0.475
Utah,2019,0.427
Vermont,2019,0.447
Virginia,2019,0.469
Washington,2019,0.458
West Virginia,2019,0.464
Wisconsin,2019,0.439
Wyoming,2019,0.435
Alabama,2021,0.482
Alaska,2021,0.439
Arizona,2021,0.463
Arkansas,2021,0.475
California,2021,0.492
Colorado,2021,0.460
Connecticut,2021,0.498
Delaware,2021,0.455
Florida,2021,0.487
Georgia,2021,0.479
Hawaii,2021,0.455
Idaho,2021,0.458
Illinois,2021,0.482
Indiana,2021,0.448
Iowa,2021,0.449
Kansas,2021,0.460
Kentucky,2021,0.476
Louisiana,2021,0.499
Maine,2021,0.466
Maryland,2021,0.463
Massachusetts,2021,0.489
Michigan,2021,0.466
Minnesota,2021,0.449
Mississippi,2021,0.481
Missouri,2021,0.471
Montana,2021,0.469
Nebraska,2021,0.456
Nevada,2021,0.473
New Hampshire,2021,0.435
New Jersey,2021,0.485
New Mexico,2021,0.486
New York,2021,0.514
North Carolina,2021,0.480
North Dakota,2021,0.453
Ohio,2021,0.469
Oklahoma,2021,0.462
Oregon,2021,0.461
Pennsylvania,2021,0.472
Rhode Island,2021,0.468
South Carolina,2021,0.476
South Dakota,2021,0.452
Tennessee,2021,0.482
Texas,2021,0.478
Utah,2021,0.445
Vermont,2021,0.453
Virginia,2021,0.472
Washington,2021,0.470
West Virginia,2021,0.486
Wisconsin,2021,0.446
Wyoming,2021,0.464
Alabama,2022,0.485
Alaska,2022,0.428
Arizona,2022,0.466
Arkansas,2022,0.480
California,2022,0.495
Colorado,2022,0.457
Connecticut,2022,0.501
Delaware,2022,0.441
Florida,2022,0.490
Georgia,2022,0.474
Hawaii,2022,0.457
Idaho,2022,0.443
Illinois,2022,0.484
Indiana,2022,0.456
Iowa,2022,0.451
Kansas,2022,0.463
Kentucky,2022,0.485
Louisiana,2022,0.491
Maine,2022,0.460
Maryland,2022,0.459
Massachusetts,2022,0.498
Michigan,2022,0.469
Minnesota,2022,0.456
Mississippi,2022,0.481
Missouri,2022,0.469
Montana,2022,0.465
Nebraska,2022,0.461
Nevada,2022,0.469
New Hampshire,2022,0.447
New Jersey,2022,0.481
New Mexico,2022,0.480
New York,2022,0.521
North Carolina,2022,0.477
North Dakota,2022,0.468
Ohio,2022,0.469
Oklahoma,2022,0.474
Oregon,2022,0.468
Pennsylvania,2022,0.478
Rhode Island,2022,0.464
South Carolina,2022,0.476
South Dakota,2022,0.449
Tennessee,2022,0.469
Texas,2022,0.480
Utah,2022,0.426
Vermont,2022,0.445
Virginia,2022,0.475
Washington,2022,0.474
West Virginia,2022,0.480
Wisconsin,2022,0.451
Wyoming,2022,0.444
Alabama,2023,0.477
Alaska,2023,0.449
Arizona,2023,0.465
Arkansas,2023,0.474
California,2023,0.487
Colorado,2023,0.458
Connecticut,2023,0.495
Delaware,2023,0.456
Florida,2023,0.483
Georgia,2023,0.479
Hawaii,2023,0.451
Idaho,2023,0.440
Illinois,2023,0.481
Indiana,2023,0.454
Iowa,2023,0.446
Kansas,2023,0.452
Kentucky,2023,0.476
Louisiana,2023,0.497
Maine,2023,0.451
Maryland,2023,0.456
Massachusetts,2023,0.488
Michigan,2023,0.466
Minnesota,2023,0.454
Mississippi,2023,0.484
Missouri,2023,0.461
Montana,2023,0.460
Nebraska,2023,0.463
Nevada,2023,0.463
New Hampshire,2023,0.445
New Jersey,2023,0.479
New Mexico,2023,0.477
New York,2023,0.516
North Carolina,2023,0.473
North Dakota,2023,0.445
Ohio,2023,0.470
Oklahoma,2023,0.474
Oregon,2023,0.464
Pennsylvania,2023,0.477
Rhode Island,2023,0.466
South Carolina,2023,0.471
South Dakota,2023,0.462
Tennessee,2023,0.476
Texas,2023,0.479
Utah,2023,0.422
Vermont,2023,0.455
Virginia,2023,0.472
Washington,2023,0.470
West Virginia,2023,0.468
Wisconsin,2023,0.448
Wyoming,2023,0.445
