YEAR,STATE,STATE_ABV,VEP,VEP_TURNOUT_RATE,TOTAL_BALLOTS_COUNTED,VAP
2004,New Mexico,NM,"1,289,094",60.14%,775301,1411419
2004,New York,NY,"12,640,317",58.92%,7448266,14598898
2004,North Carolina,NC,"6,066,809",58.56%,3552449,6505150
2004,North Dakota,ND,"488,759",64.66%,316049,496479
2004,Ohio,OH,"8,407,021",68.07%,5722443,8624277
2004,Oklahoma,OK,"2,516,580",,,2649994
2004,Oregon,OR,"2,537,173",72.98%,1851671,2736472
2004,Pennsylvania,PA,"9,255,690",,,9554349
2004,Rhode Island,RI,"747,510",58.89%,440228,827513
2004,South Carolina,SC,"3,066,549",53.05%,1626720,3198733
2004,South Dakota,SD,"565,300",69.86%,394930,576472
2004,Tennessee,TN,"4,322,069",56.84%,2456610,4496929
2004,Texas,TX,"13,763,508",,,16284659
2004,Utah,UT,"1,545,108",60.97%,942010,1664066
2004,Vermont,VT,"469,972",66.86%,314220,480053
2004,Virginia,VA,"5,284,227",61.00%,3223156,5699175
2004,Washington,WA,"4,257,936",67.72%,2883499,4683829
2004,West Virginia,WV,"1,407,450",54.68%,769645,1425689
2004,Wisconsin,WI,"3,995,149",75.50%,3016288,4172068
2004,Wyoming,WY,"375,525",65.45%,245789,386796
2000,Alabama,AL,"3,232,759",,,3334576
2000,Alaska,AK,"418,238",68.82%,287825,440296
2000,Arizona,AZ,"3,363,510",46.37%,1559520,3816498
2000,Arkansas,AR,"1,920,954",,,2001774
2000,California,CA,"19,911,561",55.96%,11142843,24867252
2000,Colorado,CO,"3,006,671",,,3246521
2000,Connecticut,CT,"2,361,236",62.43%,1474103,2575243
2000,Delaware,DE,"553,554",,,594256
2000,Florida,FL,"10,952,576",56.05%,6138765,12475387
2000,Georgia,GA,"5,501,687",48.80%,2684951,6087332
2000,Hawaii,HI,"843,861",43.98%,371113,923737
2000,Idaho,ID,"875,400",59.02%,516647,935443
