state,state_abbr,year,real_gdp_millions_chained_2017_dollars,source_table,line_code
Iowa,IA,2021,201147.1,SAGDP9N,1
Iowa,IA,2022,201580.4,SAGDP9N,1
Iowa,IA,2023,202051.4,SAGDP9N,1
Kansas,KS,2000,118840.9,SAGDP9N,1
Kansas,KS,2001,119474.1,SAGDP9N,1
Kansas,KS,2002,121050.5,SAGDP9N,1
Kansas,KS,2003,123486.7,SAGDP9N,1
Kansas,KS,2004,124793.2,SAGDP9N,1
Kansas,KS,2005,129588.2,SAGDP9N,1
Kansas,KS,2006,136135.8,SAGDP9N,1
Kansas,KS,2007,143586.6,SAGDP9N,1
Kansas,KS,2008,147265.0,SAGDP9N,1
Kansas,KS,2009,141902.5,SAGDP9N,1
Kansas,KS,2010,143870.1,SAGDP9N,1
Kansas,KS,2011,147836.8,SAGDP9N,1
Kansas,KS,2012,150077.1,SAGDP9N,1
Kansas,KS,2013,150702.9,SAGDP9N,1
Kansas,KS,2014,154110.1,SAGDP9N,1
Kansas,KS,2015,158602.6,SAGDP9N,1
Kansas,KS,2016,164643.7,SAGDP9N,1
Kansas,KS,2017,166273.6,SAGDP9N,1
Kansas,KS,2018,169796.9,SAGDP9N,1
Kansas,KS,2019,169562.3,SAGDP9N,1
Kansas,KS,2020,168056.8,SAGDP9N,1
Kansas,KS,2021,172782.4,SAGDP9N,1
Kansas,KS,2022,177470.1,SAGDP9N,1
Kansas,KS,2023,183795.6,SAGDP9N,1
Kentucky,KY,2000,161101.0,SAGDP9N,1
Kentucky,KY,2001,161316.4,SAGDP9N,1
Kentucky,KY,2002,165435.3,SAGDP9N,1
Kentucky,KY,2003,170481.9,SAGDP9N,1
Kentucky,KY,2004,175344.6,SAGDP9N,1
Kentucky,KY,2005,182017.9,SAGDP9N,1
Kentucky,KY,2006,186332.6,SAGDP9N,1
Kentucky,KY,2007,185790.0,SAGDP9N,1
Kentucky,KY,2008,186515.9,SAGDP9N,1
Kentucky,KY,2009,178112.8,SAGDP9N,1
Kentucky,KY,2010,186720.6,SAGDP9N,1
Kentucky,KY,2011,188389.8,SAGDP9N,1
Kentucky,KY,2012,192060.1,SAGDP9N,1
Kentucky,KY,2013,196698.0,SAGDP9N,1
Kentucky,KY,2014,196795.8,SAGDP9N,1
Kentucky,KY,2015,199487.1,SAGDP9N,1
Kentucky,KY,2016,201007.2,SAGDP9N,1
Kentucky,KY,2017,203564.0,SAGDP9N,1
Kentucky,KY,2018,205940.1,SAGDP9N,1
Kentucky,KY,2019,211783.1,SAGDP9N,1
Kentucky,KY,2020,206049.6,SAGDP9N,1
Kentucky,KY,2021,215133.2,SAGDP9N,1
Kentucky,KY,2022,219755.6,SAGDP9N,1
Kentucky,KY,2023,224418.0,SAGDP9N,1
Louisiana,LA,2000,206556.1,SAGDP9N,1
Louisiana,LA,2001,210534.7,SAGDP9N,1
Louisiana,LA,2002,214856.1,SAGDP9N,1
Louisiana,LA,2003,223576.0,SAGDP9N,1
Louisiana,LA,2004,234620.8,SAGDP9N,1
Louisiana,LA,2005,249560.9,SAGDP9N,1
Louisiana,LA,2006,247139.7,SAGDP9N,1
Louisiana,LA,2007,234216.4,SAGDP9N,1
Louisiana,LA,2008,237061.6,SAGDP9N,1
Louisiana,LA,2009,241868.8,SAGDP9N,1
Louisiana,LA,2010,253466.9,SAGDP9N,1
Louisiana,LA,2011,241235.9,SAGDP9N,1
Louisiana,LA,2012,242416.8,SAGDP9N,1
Louisiana,LA,2013,236482.3,SAGDP9N,1
Louisiana,LA,2014,243042.9,SAGDP9N,1
Louisiana,LA,2015,239584.1,SAGDP9N,1
Louisiana,LA,2016,235554.2,SAGDP9N,1
Louisiana,LA,2017,239830.7,SAGDP9N,1
Louisiana,LA,2018,245220.3,SAGDP9N,1
Louisiana,LA,2019,246674.4,SAGDP9N,1
Louisiana,LA,2020,228951.3,SAGDP9N,1
Louisiana,LA,2021,237839.2,SAGDP9N,1
Louisiana,LA,2022,236854.1,SAGDP9N,1
Louisiana,LA,2023,248615.5,SAGDP9N,1
Maine,ME,2000,52958.5,SAGDP9N,1
Maine,ME,2001,54066.2,SAGDP9N,1
Maine,ME,2002,55406.5,SAGDP9N,1
Maine,ME,2003,56882.4,SAGDP9N,1
Maine,ME,2004,58934.8,SAGDP9N,1
Maine,ME,2005,59589.7,SAGDP9N,1
Maine,ME,2006,59986.0,SAGDP9N,1
Maine,ME,2007,60032.6,SAGDP9N,1
Maine,ME,2008,59845.1,SAGDP9N,1
Maine,ME,2009,58771.8,SAGDP9N,1
Maine,ME,2010,59958.5,SAGDP9N,1
Maine,ME,2011,59429.7,SAGDP9N,1
Maine,ME,2012,59181.7,SAGDP9N,1
Maine,ME,2013,59013.9,SAGDP9N,1
Maine,ME,2014,59589.8,SAGDP9N,1
Maine,ME,2015,60563.0,SAGDP9N,1
Maine,ME,2016,62037.1,SAGDP9N,1
Maine,ME,2017,63000.6,SAGDP9N,1
Maine,ME,2018,64806.3,SAGDP9N,1
Maine,ME,2019,66758.4,SAGDP9N,1
Maine,ME,2020,67410.9,SAGDP9N,1
Maine,ME,2021,71142.4,SAGDP9N,1
Maine,ME,2022,73036.2,SAGDP9N,1
Maine,ME,2023,75195.4,SAGDP9N,1
Maryland,MD,2000,269301.2,SAGDP9N,1
Maryland,MD,2001,281053.6,SAGDP9N,1
Maryland,MD,2002,290400.3,SAGDP9N,1
Maryland,MD,2003,297690.6,SAGDP9N,1
Maryland,MD,2004,311504.8,SAGDP9N,1
Maryland,MD,2005,325644.5,SAGDP9N,1
