"st","state","year","democracy_mcmc","democracy_mcmc_sd","democracy_mcmc_se","democracy_additive"
"MO","Missouri",2003,-0.533028579298612,0.284475364913095,0.00284475364913095,-0.647172475017233
"MO","Missouri",2002,-0.529631121181538,0.284780735383158,0.00284780735383158,-0.642958511009815
"MO","Missouri",2001,0.00823987881519157,0.283822667764706,0.00283822667764706,-0.0557972106021859
"MO","Missouri",2000,0.0190844548184633,0.286856112952448,0.00286856112952448,-0.0396841137928544
"MT","Montana",2023,0.898622085810115,0.283634128800474,0.00283634128800474,0.804555472643142
"MT","Montana",2022,0.887247756191064,0.285299875922891,0.00285299875922891,0.804555472643142
"MT","Montana",2021,0.97832338379801,0.286594196785733,0.00286594196785733,1.28550482322613
"MT","Montana",2020,0.980620493439536,0.283048612450394,0.00283048612450394,1.28550482322613
"MT","Montana",2019,1.41049846666551,0.283422652714322,0.00283422652714322,1.24010652370063
"MT","Montana",2018,1.39317296960662,0.286619957775,0.00286619957775,0.934358589603353
"MT","Montana",2017,1.10042714209531,0.284929114108953,0.00284929114108953,0.571844658621255
"MT","Montana",2016,1.2355377110936,0.285497909766709,0.00285497909766709,0.80115560919421
"MT","Montana",2015,1.23330383740613,0.284246455701865,0.00284246455701865,0.791368784804937
"MT","Montana",2014,1.23193762412017,0.28650225511737,0.0028650225511737,0.791368784804937
"MT","Montana",2013,0.912800040296911,0.280718769184699,0.00280718769184699,0.721278520101279
"MT","Montana",2012,0.914904192075027,0.287082103132895,0.00287082103132895,0.724146100276312
"MT","Montana",2011,0.996196373280828,0.28459457102958,0.0028459457102958,0.500585720448791
"MT","Montana",2010,0.9944615616092,0.282746298518151,0.00282746298518151,0.505677465377836
"MT","Montana",2009,1.042450106314,0.288169284528392,0.00288169284528392,-0.106286047663595
"MT","Montana",2008,1.05139696185935,0.281812256563968,0.00281812256563968,-0.0126170843820792
"MT","Montana",2007,1.04658940341722,0.281858538777117,0.00281858538777117,-0.0448733692639073
"MT","Montana",2006,1.04298249899066,0.284339414668131,0.00284339414668131,-0.0357488303514015
"MT","Montana",2005,0.959329072704675,0.283071919404389,0.00283071919404389,-0.0791810254118264
"MT","Montana",2004,0.904962701576271,0.287777644831015,0.00287777644831015,-0.312414411234895
"MT","Montana",2003,0.906295187850377,0.283466238006555,0.00283466238006555,-0.267508310830801
"MT","Montana",2002,0.98584478051921,0.288166895450881,0.00288166895450881,-0.045775476596064
"MT","Montana",2001,0.787065962881696,0.286775333300545,0.00286775333300545,-0.353134642777682
"MT","Montana",2000,0.788157392762007,0.28231478638629,0.0028231478638629,-0.336650973444192
"NE","Nebraska",2023,0.143161633711413,0.284268939562785,0.00284268939562785,0.916673996034738
"NE","Nebraska",2022,0.143673701045025,0.283059248294924,0.00283059248294924,0.916673996034738
"NE","Nebraska",2021,0.171025314647426,0.280094435255644,0.00280094435255644,0.948796698869143
"NE","Nebraska",2020,0.168973369261428,0.283286843470081,0.00283286843470081,0.948796698869143
"NE","Nebraska",2019,0.201967495844913,0.279745046930801,0.00279745046930801,0.780089548867745
"NE","Nebraska",2018,0.191382224770529,0.282366985197538,0.00282366985197538,0.627215581819108
