state,state_abbr,S_year,E_year,S,ln_gdppc,activity,ln_density
Missouri,MO,2007,2005,0.059948742,10.805258584742427,67.9,4.433513859549211
Missouri,MO,2008,2006,0.26897424,10.800503581465517,67.7,4.4425234592160745
Missouri,MO,2009,2007,0.038319528,10.79897854557838,67.5,4.450180238351235
Missouri,MO,2010,2008,0.11245973,10.825454325806096,67.0,4.456327472531724
Montana,MT,2002,2000,0.3393434,10.490593874279538,68.5,1.8260561532695903
Montana,MT,2003,2001,0.29223153,10.492468092180545,67.1,1.8295773808977365
Montana,MT,2004,2002,0.43339324,10.51665884218608,66.6,1.8347527224231612
Montana,MT,2005,2003,0.62135017,10.553990487487464,66.3,1.843449345840968
Montana,MT,2006,2004,0.4427594,10.58987923546847,66.5,1.8546721941243738
Montana,MT,2007,2005,0.33351782,10.62920451441332,66.6,1.8654663106200373
Montana,MT,2008,2006,0.17090295,10.64647240615074,67.0,1.878769592095078
Montana,MT,2009,2007,0.33986005,10.682729651255151,67.3,1.8913013223118291
Montana,MT,2010,2008,0.31943148,10.67046559644441,67.3,1.9033656315616747
Nebraska,NE,2002,2000,1.089606,10.75440400939171,73.3,3.105042762819266
Nebraska,NE,2003,2001,0.694363,10.775509767762525,73.3,3.1085469031034823
Nebraska,NE,2004,2002,0.6084112,10.784667953075438,73.4,3.113451603248902
Nebraska,NE,2005,2003,0.8439925,10.835511633156736,74.0,3.1194228895617275
Nebraska,NE,2006,2004,0.0077333916,10.855037650605796,74.1,3.1255736887811856
Nebraska,NE,2007,2005,0.01792664,10.890783514864042,73.4,3.13248198136507
Nebraska,NE,2008,2006,0.046502993,10.913288708297824,72.8,3.138817824912425
Nebraska,NE,2009,2007,0.5181863,10.932185973283817,72.9,3.1448620491965054
Nebraska,NE,2010,2008,0.5847717,10.925753070011691,73.0,3.15209038110212
Nevada,NV,2002,2000,-0.18777846,10.948561559313454,70.3,2.911018387339205
Nevada,NV,2003,2001,-0.109523304,10.922472456573534,70.4,2.9497190105814965
Nevada,NV,2004,2002,-0.46853673,10.920274082045728,69.3,2.9850169854877353
Nevada,NV,2005,2003,-0.23427126,10.932867135852302,67.9,3.0189633120080575
Nevada,NV,2006,2004,-0.46369326,10.992102696410814,67.0,3.0613507124748853
Nevada,NV,2007,2005,-0.30665714,11.03414687300046,67.4,3.09731709928206
Nevada,NV,2008,2006,-0.18963212,11.034205973057361,68.6,3.1338574451222434
Nevada,NV,2009,2007,0.33557826,11.012743583143516,69.5,3.164468005308932
Nevada,NV,2010,2008,0.39459512,10.960600557392723,69.4,3.1844728515478904
New Hampshire,NH,2002,2000,0.6457345,10.799382683000099,72.3,4.9306987116589776
New Hampshire,NH,2003,2001,0.56008303,10.802806145163443,71.7,4.943229937806452
New Hampshire,NH,2004,2002,0.94261014,10.820089482863022,71.4,4.9539818180972075
New Hampshire,NH,2005,2003,1.3283079,10.852482407367598,71.3,4.962417567978852
New Hampshire,NH,2006,2004,1.5318563,10.878802825537756,71.0,4.970418510284871
New Hampshire,NH,2007,2005,1.6111801,10.888685309039165,71.3,4.976886089007217
New Hampshire,NH,2008,2006,1.8073212,10.907599617287067,71.0,4.98447910729231
New Hampshire,NH,2009,2007,2.2467449,10.911672176506983,70.8,4.987646689070206
New Hampshire,NH,2010,2008,2.3271406,10.898660895961683,70.8,4.990207899641033
New Jersey,NJ,2002,2000,-0.053308934,10.99826565667076,66.5,7.044278164312505
New Jersey,NJ,2003,2001,0.21079783,11.002239638248842,66.1,7.05161128579497
New Jersey,NJ,2004,2002,0.10892465,11.011011670410431,66.5,7.058648087518558
New Jersey,NJ,2005,2003,0.17818774,11.028359653469394,66.1,7.064332942759912
New Jersey,NJ,2006,2004,-0.061680224,11.036441143537646,65.9,7.068180600231495
New Jersey,NJ,2007,2005,-0.07624923,11.053241848462635,66.1,7.07019523253225
New Jersey,NJ,2008,2006,-0.06637413,11.068194916969357,66.6,7.071316313221168
New Jersey,NJ,2009,2007,0.07292936,11.07638421778945,66.2,7.073185564918474
New Jersey,NJ,2010,2008,0.09364901,11.094397758774415,66.7,7.077004656079301
New Mexico,NM,2002,2000,-0.13155778,10.595063659005227,63.2,2.7088812391905814
New Mexico,NM,2003,2001,-0.032605432,10.592926365894117,63.3,2.714622456320291
New Mexico,NM,2004,2002,-0.39375812,10.611793530835271,63.2,2.727434677366879
New Mexico,NM,2005,2003,-0.1956621,10.644266349265012,63.2,2.7393639363544025
New Mexico,NM,2006,2004,-0.44217017,10.715346935809682,62.9,2.753239509308762
New Mexico,NM,2007,2005,-0.2877621,10.706839819574967,62.9,2.768080966041166
New Mexico,NM,2008,2006,-0.17633797,10.71733927526001,62.4,2.783417603773293
New Mexico,NM,2009,2007,0.3491247,10.712620013692094,61.9,2.7975532323575925
New Mexico,NM,2010,2008,0.40549105,10.698072560959321,62.0,2.807847439440396
New York,NY,2002,2000,-0.33825877,11.067396622149541,62.8,5.999514351996732
New York,NY,2003,2001,-0.29822472,11.082441387359568,62.3,6.003771090105347
New York,NY,2004,2002,-0.374484,11.069704803159075,63.1,6.006647129897531
New York,NY,2005,2003,-0.41002175,11.074190079711375,62.6,6.008638009075223
New York,NY,2006,2004,-0.48349676,11.100652684796128,62.8,6.008409989030376
New York,NY,2007,2005,-0.4722245,11.127586155873816,63.0,6.006375902072596
New York,NY,2008,2006,-0.370304,11.1579273387437,63.1,6.004912459404572
New York,NY,2009,2007,-0.11884115,11.167045362935863,62.6,6.006361528603616
New York,NY,2010,2008,-0.07471633,11.143698891974973,63.2,6.010539470702416
North Carolina,NC,2002,2000,-0.645136,10.76910644184996,67.5,5.113249945101641
North Carolina,NC,2003,2001,-0.39129576,10.761932749300104,67.5,5.129026123322107
North Carolina,NC,2004,2002,-0.6956486,10.763901372500571,66.6,5.143065629766943
North Carolina,NC,2005,2003,-0.8149792,10.779704135163197,67.0,5.154565155069417
